,Date,ID,url,username,source,location,tweet,num of likes,num of _retweet
10,2022-10-10 15:00:06+00:00,1579486939195269124,https://twitter.com/DmvGospel/status/1579486939195269124,DmvGospel,Airtime Pro,,NESTLE IN WITH DADDY GOD is starting now! Listen live here: https://t.co/HCDqQRieKp,0,0
11,2022-10-10 15:00:03+00:00,1579486925571780609,https://twitter.com/DmvGospel/status/1579486925571780609,DmvGospel,Airtime Pro,,Now playing NESTLE IN WITH DADDY GOD 100822 DMVSHF PASTOR MONICA LOWE HOWARD by !,0,0
12,2022-10-10 14:59:11+00:00,1579486706973446144,https://twitter.com/Gazzamb/status/1579486706973446144,Gazzamb,Twitter for iPhone,,@zulublanka @hanrahanistan @Nestle Have you tried the caramac buttons. Disgusting,0,0
13,2022-10-10 14:58:38+00:00,1579486571262140417,https://twitter.com/SafeSENCOSaeed/status/1579486571262140417,SafeSENCOSaeed,Twitter for Android,"Birmingham, England",I need a green triangle version of this please @Nestle!😍😍 https://t.co/Mhvk1wzjF5,1,0
14,2022-10-10 14:58:20+00:00,1579486497019162626,https://twitter.com/GazetteGrocery/status/1579486497019162626,GazetteGrocery,Twitter Web App,"London, UK","☕️ @Coffeemate packaging has been shrunk by owner @Nestle as the manufacturer looks to mitigate rising #production costs.

https://t.co/pQ3NlfB2Z7",0,0
15,2022-10-10 14:56:09+00:00,1579485945975705600,https://twitter.com/Yeotjn/status/1579485945975705600,Yeotjn,Twitter for Android,Uncommitted.,"I hope that everyone can hunker down within their homes as the new season ushers in its chillier air and more dismal atmosphere. Don't let the perpetual chill of winter get the best of you instead, take extra care of your health and nestle into the warmth. https://t.co/A0IkkBBWSq",0,0
16,2022-10-10 14:53:48+00:00,1579485356134539266,https://twitter.com/carboncompanies/status/1579485356134539266,carboncompanies,"Cheap Bots, Done Quick!",,Greetings eco-friendlies! The well known high-carbon company Nestle who uses 1.7 MILLION of plastic only on packaging🤢! You'll never guess that  carbon footprints are important!  Find out what else is swept underneath the rug!,0,0
17,2022-10-10 14:52:50+00:00,1579485112361963520,https://twitter.com/GoldJo1980/status/1579485112361963520,GoldJo1980,Twitter Web App,,@ExcelVendingLtd @Nestle Traditional,0,0
18,2022-10-10 14:52:01+00:00,1579484905146560513,https://twitter.com/N2Watching/status/1579484905146560513,N2Watching,Twitter for iPad,,@FrankRiveraMar1 @SteveSchmidtSES And Nestle is doing it in Michigan.,1,1
19,2022-10-10 14:49:43+00:00,1579484328362672129,https://twitter.com/kurtwellness/status/1579484328362672129,kurtwellness,Twitter for iPhone,"Fishkill, New York",Roofers are here to replace the roof and Nestle is sound asleep as they make all this racket 🤣 She really is a daycare kid after all 😜,15,0
